week,sector,n,rank,rank_8w_ago,rank_gain_8w,rs,rs_mom13,breadth,breadth_d8w,pct_52w_high,univ_breadth,status
2024-12-20,Energy,8,1.0,,,1.06,5.87,50.0,,,29.22,LEADER
2024-12-20,Consumer Discretionary,36,2.0,,,1.04,4.36,34.29,,,29.22,LEADER
2024-12-20,Technology,17,3.0,,,1.04,4.32,47.06,,,29.22,LEADER
2024-12-20,Financials,12,4.0,,,1.02,1.61,25.0,,,29.22,
2024-12-20,Industrials,30,5.0,,,0.99,-0.63,20.0,,,29.22,
2024-12-20,Consumer Staples,6,6.0,,,0.98,-1.55,33.33,,,29.22,
2024-12-20,Health Care,25,7.0,,,0.96,-4.42,32.0,,,29.22,
2024-12-20,Utilities,7,8.0,,,0.93,-6.63,28.57,,,29.22,
2024-12-20,Basic Materials,5,9.0,,,0.93,-7.48,0.0,,,29.22,
2024-12-20,Real Estate,9,10.0,,,0.9,-9.58,0.0,,,29.22,
2024-12-27,Energy,8,1.0,,,1.05,10.74,62.5,,,46.1,LEADER
2024-12-27,Technology,17,2.0,,,1.06,3.25,52.94,,,46.1,LEADER
2024-12-27,Financials,12,3.0,,,1.01,3.22,58.33,,,46.1,LEADER
2024-12-27,Industrials,30,4.0,,,0.99,0.83,30.0,,,46.1,
2024-12-27,Consumer Discretionary,36,5.0,,,1.04,0.22,68.57,,,46.1,
2024-12-27,Health Care,25,6.0,,,0.97,-1.67,44.0,,,46.1,
2024-12-27,Consumer Staples,6,7.0,,,0.97,-3.69,33.33,,,46.1,
2024-12-27,Utilities,7,8.0,,,0.95,-4.23,42.86,,,46.1,
2024-12-27,Real Estate,9,9.0,,,0.89,-8.97,0.0,,,46.1,
2024-12-27,Basic Materials,5,10.0,,,0.92,-10.35,20.0,,,46.1,
2025-01-03,Energy,8,1.0,,,1.13,9.71,75.0,,,48.05,LEADER
2025-01-03,Technology,17,2.0,,,1.03,2.74,47.06,,,48.05,LEADER
2025-01-03,Financials,12,3.0,,,1.01,2.51,66.67,,,48.05,LEADER
2025-01-03,Health Care,25,4.0,,,0.99,1.06,52.0,,,48.05,
2025-01-03,Industrials,30,5.0,,,0.98,0.02,40.0,,,48.05,
2025-01-03,Consumer Discretionary,36,6.0,,,1.02,-0.52,51.43,,,48.05,
2025-01-03,Utilities,7,7.0,,,0.99,-1.15,85.71,,,48.05,
2025-01-03,Consumer Staples,6,8.0,,,0.94,-5.49,16.67,,,48.05,
2025-01-03,Real Estate,9,9.0,,,0.9,-8.68,11.11,,,48.05,
2025-01-03,Basic Materials,5,10.0,,,0.91,-11.73,20.0,,,48.05,
2025-01-10,Energy,8,1.0,,,1.17,15.59,100.0,,,44.16,LEADER
2025-01-10,Technology,17,2.0,,,1.03,4.28,47.06,,,44.16,LEADER
2025-01-10,Financials,12,3.0,,,1.01,1.91,66.67,,,44.16,LEADER
2025-01-10,Industrials,30,4.0,,,0.99,0.94,40.0,,,44.16,
2025-01-10,Health Care,25,5.0,,,0.98,0.26,48.0,,,44.16,
