week,sector,n,rank,rank_8w_ago,rank_gain_8w,rs,rs_mom13,breadth,breadth_d8w,pct_52w_high,univ_breadth,status
2024-12-27,Information Technology,150,1.0,,,1.1,10.27,51.68,,,31.36,LEADER
2024-12-27,Communication Services,43,2.0,,,1.07,7.43,51.16,,,31.36,LEADER
2024-12-27,Financials,149,3.0,,,1.05,4.83,36.24,,,31.36,LEADER
2024-12-27,Consumer Discretionary,114,4.0,,,1.01,1.26,50.0,,,31.36,
2024-12-27,Energy,35,5.0,,,1.0,-0.44,22.86,,,31.36,
2024-12-27,Industrials,182,6.0,,,0.99,-1.25,16.02,,,31.36,
2024-12-27,Utilities,41,7.0,,,0.98,-2.21,21.95,,,31.36,
2024-12-27,Consumer Staples,54,8.0,,,0.94,-5.66,22.22,,,31.36,
2024-12-27,Health Care,102,9.0,,,0.93,-7.01,31.37,,,31.36,
2024-12-27,Real Estate,59,10.0,,,0.91,-9.38,10.17,,,31.36,
2024-12-27,Materials,55,11.0,,,0.87,-13.39,3.64,,,31.36,
2025-01-03,Information Technology,150,1.0,,,1.11,10.7,53.02,,,31.77,LEADER
2025-01-03,Communication Services,43,2.0,,,1.07,7.95,51.16,,,31.77,LEADER
2025-01-03,Financials,149,3.0,,,1.04,3.0,32.89,,,31.77,LEADER
2025-01-03,Consumer Discretionary,114,4.0,,,1.0,1.05,41.23,,,31.77,
2025-01-03,Industrials,182,5.0,,,0.99,-1.36,18.23,,,31.77,
2025-01-03,Utilities,41,6.0,,,0.99,-2.23,29.27,,,31.77,
2025-01-03,Energy,35,7.0,,,1.04,-2.99,48.57,,,31.77,
2025-01-03,Consumer Staples,54,8.0,,,0.94,-5.04,18.52,,,31.77,
2025-01-03,Health Care,102,9.0,,,0.93,-5.66,31.37,,,31.77,
2025-01-03,Real Estate,59,10.0,,,0.91,-7.5,13.56,,,31.77,
2025-01-03,Materials,55,11.0,,,0.86,-13.02,5.45,,,31.77,
2025-01-10,Information Technology,150,1.0,,,1.1,7.54,32.0,,,21.75,LEADER
2025-01-10,Communication Services,43,2.0,,,1.06,6.78,27.91,,,21.75,LEADER
2025-01-10,Consumer Discretionary,114,3.0,,,1.01,2.78,33.33,,,21.75,LEADER
2025-01-10,Energy,35,4.0,,,1.08,1.3,60.0,,,21.75,
2025-01-10,Utilities,41,5.0,,,0.98,1.18,21.95,,,21.75,
2025-01-10,Financials,149,6.0,,,1.03,0.81,9.4,,,21.75,
2025-01-10,Industrials,182,7.0,,,0.99,-1.53,12.09,,,21.75,
2025-01-10,Health Care,102,8.0,,,0.95,-2.73,35.29,,,21.75,
2025-01-10,Consumer Staples,54,9.0,,,0.93,-5.37,16.67,,,21.75,
2025-01-10,Real Estate,59,10.0,,,0.88,-8.63,0.0,,,21.75,
2025-01-10,Materials,55,11.0,,,0.87,-11.06,9.09,,,21.75,
2025-01-17,Information Technology,150,1.0,,,1.1,9.0,55.33,,,44.72,LEADER
2025-01-17,Energy,35,2.0,,,1.1,8.68,85.71,,,44.72,LEADER
2025-01-17,Communication Services,43,3.0,,,1.04,4.05,41.86,,,44.72,LEADER
2025-01-17,Financials,149,4.0,,,1.05,1.32,54.36,,,44.72,
2025-01-17,Consumer Discretionary,114,5.0,,,0.99,1.15,40.35,,,44.72,
2025-01-17,Industrials,182,6.0,,,1.0,-0.47,41.76,,,44.72,
2025-01-17,Utilities,41,7.0,,,0.98,-1.84,53.66,,,44.72,
2025-01-17,Health Care,102,8.0,,,0.93,-4.67,47.06,,,44.72,
