ticker,name,sector
MC.PA,LVMH,Consumer Discretionary
OR.PA,L'OREAL,Consumer Discretionary
TTE.PA,TOTALENERGIES,Energy
SU.PA,SCHNEIDER ELECTRIC,Industrials
AIR.PA,AIRBUS,Industrials
RMS.PA,HERMES INTL,Consumer Discretionary
SAF.PA,SAFRAN,Industrials
BNP.PA,BNP PARIBAS ACT.A,Financials
AI.PA,AIR LIQUIDE,Basic Materials
CS.PA,AXA,Financials
SAN.PA,SANOFI,Health Care
EL.PA,ESSILORLUXOTTICA,Health Care
DG.PA,VINCI,Industrials
ENGI.PA,ENGIE,Utilities
ACA.PA,CREDIT AGRICOLE,Financials
GLE.PA,SOCIETE GENERALE,Financials
HO.PA,THALES,Industrials
STMPA.PA,STMICROELECTRONICS,Technology
BN.PA,DANONE,Consumer Staples
ORA.PA,ORANGE,Telecommunications
LR.PA,LEGRAND,Industrials
SGO.PA,SAINT GOBAIN,Industrials
KER.PA,KERING,Consumer Discretionary
DSY.PA,DASSAULT SYSTEMES,Technology
VIE.PA,VEOLIA ENVIRON.,Utilities
AM.PA,DASSAULT AVIATION,Industrials
AMUN.PA,AMUNDI,Financials
DIM.PA,SARTORIUS STED BIO,Health Care
STLAP.PA,STELLANTIS NV,Consumer Discretionary
CAP.PA,CAPGEMINI,Technology
EN.PA,BOUYGUES,Industrials
RI.PA,PERNOD RICARD,Consumer Staples
URW.PA,UNIBAIL-RODAMCO-WE,Real Estate
IPN.PA,IPSEN,Health Care
ERF.PA,EUROFINS SCIENT.,Health Care
BVI.PA,BUREAU VERITAS,Industrials
CA.PA,CARREFOUR,Consumer Staples
RXL.PA,REXEL,Industrials
ADP.PA,ADP,Industrials
AC.PA,ACCOR,Consumer Discretionary
BOL.PA,BOLLORE,Consumer Discretionary
LI.PA,KLEPIERRE,Real Estate
FGR.PA,EIFFAGE,Industrials
GET.PA,GETLINK SE,Industrials
AYV.PA,AYVENS,Consumer Discretionary
ABVX.PA,ABIVAX,Health Care
BIM.PA,BIOMERIEUX,Health Care
RNO.PA,RENAULT,Consumer Discretionary
SW.PA,SODEXO,Consumer Discretionary
GTT.PA,GTT,Energy
SPIE.PA,SPIE,Industrials
EDEN.PA,EDENRED,Industrials
CBDG.PA,CAMBODGE NOM.,Financials
NEX.PA,NEXANS,Industrials
SCR.PA,SCOR SE,Financials
ODET.PA,COMPAGNIE ODET,Utilities
COV.PA,COVIVIO,Real Estate
TE.PA,TECHNIP ENERGIES,Energy
SOI.PA,SOITEC,Technology
DEC.PA,JCDECAUX,Consumer Discretionary
VK.PA,VALLOUREC,Energy
GFC.PA,GECINA,Real Estate
ELIS.PA,ELIS,Industrials
AKE.PA,ARKEMA,Basic Materials
TEP.PA,TELEPERFORMANCE,Industrials
FDJU.PA,FDJ UNITED,Consumer Discretionary
LOUP.PA,LDC,Consumer Staples
RUI.PA,RUBIS,Consumer Discretionary
FR.PA,VALEO,Consumer Discretionary
COVH.PA,COVIVIO HOTELS,Real Estate
MF.PA,WENDEL,Financials
SK.PA,S.E.B.,Consumer Discretionary
CAF.PA,CRCAM PARIS ET IDF,Financials
SOP.PA,SOPRA STERIA GROUP,Technology
RF.PA,EURAZEO,Financials
AF.PA,AIR FRANCE -KLM,Consumer Discretionary
VCT.PA,VICAT,Industrials
EXENS.PA,EXOSENS,Industrials
TRI.PA,TRIGANO,Consumer Discretionary
TKO.PA,TIKEHAU CAPITAL,Financials
FII.PA,LISI,Industrials
BB.PA,BIC,Consumer Staples
VIRP.PA,VIRBAC,Health Care
MMB.PA,LAGARDERE SA,Consumer Discretionary
ITP.PA,INTERPARFUMS,Consumer Discretionary
ARTO.PA,ARTOIS NOM.,Financials
COFA.PA,COFACE,Financials
ATE.PA,ALTEN,Technology
VRLA.PA,VERALLIA,Industrials
